id,claim,model,repetition,label,explanation,valid_json,raw_text
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.1-8b,0,sarcastic,The claim is sarcastic because the description of the action is overly detailed and implies the opposite of what is being said.,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because the description of the action is overly detailed and implies the opposite of what is being said.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.1-8b,1,sarcastic,The claim is sarcastic because it uses strong language to express a strong opinion about the Browns' ability to evaluate quarterbacks.,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it uses strong language to express a strong opinion about the Browns' ability to evaluate quarterbacks.\""}"""
3,Mario didn't play as many games,llama-3.1-8b,0,sarcastic,"The claim is sarcastic because the context implies Mario is a character who plays many games, making the statement ironic.",True,"""{\n  \""label\"": \""sarcastic\"",\n  \""explanation\"": \""The claim is sarcastic because the context implies Mario is a character who plays many games, making the statement ironic.\""\n}"""
3,Mario didn't play as many games,llama-3.1-8b,1,sarcastic,"The speaker is being ironic about the early days of Xbox Live, implying it's unbelievable that it didn't exist.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker is being ironic about the early days of Xbox Live, implying it's unbelievable that it didn't exist.\""}"""
9,"Synical ploy for SF, there must be an election coming up!",llama-3.1-8b,0,sarcastic,The use of 'Synical' (a play on 'sinister') and the mention of an election suggests a tongue-in-cheek tone.,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The use of 'Synical' (a play on 'sinister') and the mention of an election suggests a tongue-in-cheek tone.\""}"""
9,"Synical ploy for SF, there must be an election coming up!",llama-3.1-8b,1,sarcastic,"The claim uses a literal tone but implies the opposite, highlighting the speaker's skepticism about the listener's readiness.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim uses a literal tone but implies the opposite, highlighting the speaker's skepticism about the listener's readiness.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.1-8b,0,sarcastic,"This claim is sarcastic because the phrase 'at first I thought' indicates irony and a shift in tone, implying the opposite of what is literally stated.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""This claim is sarcastic because the phrase 'at first I thought' indicates irony and a shift in tone, implying the opposite of what is literally stated.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.1-8b,1,sarcastic,"The claim uses profanity and a tone of disdain, indicating sarcasm.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim uses profanity and a tone of disdain, indicating sarcasm.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.1-8b,2,sarcastic,The claim is sarcastic because the context implies Mario is a well-known character who likely plays many games.,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because the context implies Mario is a well-known character who likely plays many games.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.1-8b,3,sarcastic,"The speaker is expressing irony or mocking praise, suggesting the opposite is true.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker is expressing irony or mocking praise, suggesting the opposite is true.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.1-8b,4,sarcastic,"The claim uses a made-up word, 'Synical', and an obvious reference to an election, indicating sarcasm.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim uses a made-up word, 'Synical', and an obvious reference to an election, indicating sarcasm.\""}"""
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.1-8b,0,sarcastic,"The claim is sarcastic because it uses a tone of disapproval, implying that the person is not ready, while the content suggests they are ready to proceed",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it uses a tone of disapproval, implying that the person is not ready, while the content suggests they are ready to proceed\""}"""
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.1-8b,1,sarcastic,"The claim uses irony and mocking tone to express disagreement, indicating sarcasm.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim uses irony and mocking tone to express disagreement, indicating sarcasm.\""}"""
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.1-8b,2,literal,"The claim is made in a neutral tone, without any indication of irony or skepticism.",True,"""{\""label\"": \""literal\"", \""explanation\"": \""The claim is made in a neutral tone, without any indication of irony or skepticism.\""}"""
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.1-8b,3,sarcastic,"The claim is sarcastic because it uses a phrase 'next week too' which implies a repetition of a previous event, suggesting the speaker is being ironic.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it uses a phrase 'next week too' which implies a repetition of a previous event, suggesting the speaker is being ironic.\""}"""
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.1-8b,4,sarcastic,The phrase 'according to Aston Martin' is a sarcastic remark as Aston Martin is not known for its fact-checking abilities.,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The phrase 'according to Aston Martin' is a sarcastic remark as Aston Martin is not known for its fact-checking abilities.\""}"""
