model_receiver,model_sender,match_type,total_positive_delta,total_positive_budget,total_negative_delta,total_negative_budget,possible_positive_count,possible_negative_count,count,positive_delta_realisation,negative_delta_realisation
gemma-3-27b,gemma-3-27b,0:0,0.0,0.0,0.0,1000.0,0,1000,1000,,0.0
gemma-3-27b,gemma-3-27b,1:1,0.0,0.0,0.0,1000.0,0,1000,1000,,0.0
gemma-3-4b,gemma-3-4b,0:0,0.0,0.0,0.0,1000.0,0,1000,1000,,0.0
gemma-3-4b,gemma-3-4b,1:1,0.0,0.0,-0.8999999999999999,1000.0,0,1000,1000,,-0.0008999999999999999
llama-3.1-8b,llama-3.1-8b,0:0,0.0,0.0,0.0,36.0,0,36,36,,0.0
llama-3.1-8b,llama-3.1-8b,1:1,0.0,0.0,0.0,54.0,0,54,54,,0.0
llama-3.3-70b,llama-3.3-70b,0:0,0.0,0.0,-0.8999999999999999,1000.0,0,1000,1000,,-0.0008999999999999999
llama-3.3-70b,llama-3.3-70b,1:1,0.0,0.0,-10.5,1000.0,0,1000,1000,,-0.0105
qwen-2.5-72b,qwen-2.5-72b,0:0,0.0,0.0,0.0,1000.0,0,1000,1000,,0.0
qwen-2.5-72b,qwen-2.5-72b,1:1,0.0,0.0,0.0,1000.0,0,1000,1000,,0.0
qwen-2.5-7b,qwen-2.5-7b,0:0,0.0,0.0,-1.1999999999999997,1000.0,0,1000,1000,,-0.0011999999999999997
qwen-2.5-7b,qwen-2.5-7b,1:1,0.0,0.0,-2.0,1000.0,0,1000,1000,,-0.002
