model_receiver,model_sender,match_type,total_positive_delta,total_positive_budget,total_negative_delta,total_negative_budget,possible_positive_count,possible_negative_count,count,positive_delta_realisation,negative_delta_realisation
gemma-3-27b,gemma-3-27b,0:0,0.0,0.0,0.0,1000.0,0,1000,1000,,0.0
gemma-3-27b,gemma-3-27b,1:1,0.0,0.0,0.0,1000.0,0,1000,1000,,0.0
gemma-3-27b,gemma-3-4b,0:0,0.0,0.0,0.0,1000.0,0,1000,1000,,0.0
gemma-3-27b,gemma-3-4b,1:1,0.0,0.0,-1.4,1000.0,0,1000,1000,,-0.0014
gemma-3-27b,gpt-oss-20b,0:0,0.0,0.0,0.0,1000.0,0,1000,1000,,0.0
gemma-3-27b,gpt-oss-20b,1:1,0.0,0.0,0.0,1000.0,0,1000,1000,,0.0
gemma-3-27b,llama-3.3-70b,0:0,0.0,0.0,0.0,1000.0,0,1000,1000,,0.0
gemma-3-27b,llama-3.3-70b,1:1,0.0,0.0,-0.19999999999999996,1000.0,0,1000,1000,,-0.00019999999999999996
gemma-3-27b,qwen-2.5-72b,0:0,0.0,0.0,0.0,1000.0,0,1000,1000,,0.0
gemma-3-27b,qwen-2.5-72b,1:1,0.0,0.0,0.0,1000.0,0,1000,1000,,0.0
gemma-3-4b,gemma-3-27b,0:0,0.0,0.0,-7.0,1000.0,0,1000,1000,,-0.007
gemma-3-4b,gemma-3-27b,1:1,0.0,0.0,-0.09999999999999998,1000.0,0,1000,1000,,-9.999999999999998e-05
gemma-3-4b,gemma-3-4b,0:0,0.0,0.0,-29.5,1000.0,0,1000,1000,,-0.0295
gemma-3-4b,gemma-3-4b,1:1,0.0,0.0,-0.5999999999999999,1000.0,0,1000,1000,,-0.0005999999999999998
llama-3.1-8b,llama-3.1-8b,0:0,0.0,0.0,-267.9,396.0,0,396,396,,-0.6765151515151514
llama-3.1-8b,llama-3.1-8b,1:1,0.0,0.0,-7.699999999999998,1000.0,0,1000,1000,,-0.0076999999999999985
llama-3.1-8b,llama-3.3-70b,0:0,0.0,0.0,-306.4,369.0,0,369,369,,-0.8303523035230351
llama-3.1-8b,llama-3.3-70b,1:1,0.0,0.0,-17.299999999999997,1000.0,0,1000,1000,,-0.017299999999999996
llama-3.3-70b,gemma-3-27b,0:0,0.0,0.0,-12.9,1000.0,0,1000,1000,,-0.0129
llama-3.3-70b,gemma-3-27b,1:1,0.0,0.0,-28.099999999999998,1000.0,0,1000,1000,,-0.028099999999999997
llama-3.3-70b,gpt-oss-20b,0:0,0.0,0.0,-17.0,1000.0,0,1000,1000,,-0.017
llama-3.3-70b,gpt-oss-20b,1:1,0.0,0.0,-0.3999999999999999,1000.0,0,1000,1000,,-0.0003999999999999999
llama-3.3-70b,llama-3.1-8b,0:0,0.0,0.0,-7.0,369.0,0,369,369,,-0.018970189701897018
llama-3.3-70b,llama-3.1-8b,1:1,0.0,0.0,-31.0,1000.0,0,1000,1000,,-0.031
llama-3.3-70b,llama-3.3-70b,0:0,0.0,0.0,-83.3,1000.0,0,1000,1000,,-0.0833
llama-3.3-70b,llama-3.3-70b,1:1,0.0,0.0,-51.2,1000.0,0,1000,1000,,-0.0512
llama-3.3-70b,qwen-2.5-72b,0:0,0.0,0.0,-13.799999999999999,1000.0,0,1000,1000,,-0.0138
llama-3.3-70b,qwen-2.5-72b,1:1,0.0,0.0,-31.2,1000.0,0,1000,1000,,-0.0312
qwen-2.5-72b,gemma-3-27b,0:0,0.0,0.0,-0.09999999999999998,1000.0,0,1000,1000,,-9.999999999999998e-05
qwen-2.5-72b,gemma-3-27b,1:1,0.0,0.0,-0.19999999999999996,1000.0,0,1000,1000,,-0.00019999999999999996
qwen-2.5-72b,gpt-oss-20b,0:0,0.0,0.0,0.0,1000.0,0,1000,1000,,0.0
qwen-2.5-72b,gpt-oss-20b,1:1,0.0,0.0,0.0,1000.0,0,1000,1000,,0.0
qwen-2.5-72b,llama-3.3-70b,0:0,0.0,0.0,-1.2999999999999998,1000.0,0,1000,1000,,-0.0012999999999999997
qwen-2.5-72b,llama-3.3-70b,1:1,0.0,0.0,0.0,1000.0,0,1000,1000,,0.0
qwen-2.5-72b,qwen-2.5-72b,0:0,0.0,0.0,-0.09999999999999998,1000.0,0,1000,1000,,-9.999999999999998e-05
qwen-2.5-72b,qwen-2.5-72b,1:1,0.0,0.0,-0.29999999999999993,1000.0,0,1000,1000,,-0.0002999999999999999
qwen-2.5-72b,qwen-2.5-7b,0:0,0.0,0.0,-0.09999999999999998,1000.0,0,1000,1000,,-9.999999999999998e-05
qwen-2.5-72b,qwen-2.5-7b,1:1,0.0,0.0,-0.19999999999999996,1000.0,0,1000,1000,,-0.00019999999999999996
qwen-2.5-7b,qwen-2.5-72b,0:0,0.0,0.0,-0.29999999999999993,1000.0,0,1000,1000,,-0.0002999999999999999
qwen-2.5-7b,qwen-2.5-72b,1:1,0.0,0.0,-0.7999999999999999,1000.0,0,1000,1000,,-0.0007999999999999999
qwen-2.5-7b,qwen-2.5-7b,0:0,0.0,0.0,-1.2,1000.0,0,1000,1000,,-0.0012
qwen-2.5-7b,qwen-2.5-7b,1:1,0.0,0.0,-0.3999999999999999,1000.0,0,1000,1000,,-0.0003999999999999999
