id,text,label
0,! Brilliant ! ',positive
1,... a boring parade of talking heads and technical gibberish that will do little to advance the Linux cause .,negative
2,"-LRB- Schweiger is -RRB- talented and terribly charismatic , qualities essential to both movie stars and social anarchists .",positive
3,! Gollum's ` performance ' is incredible,positive
4,"... a fun little timewaster , helped especially by the cool presence of Jean Reno .",positive
5,"-LRB- Wendigo is -RRB- why we go to the cinema : to be fed through the eye , the heart , the mind .",positive
6,"! Oh , look at that clever angle ! Wow , a jump cut !",negative
7,... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .,negative
8,... Blade II is more enjoyable than the original .,positive
9,"! The camera twirls ! Oh , look at that clever angle ! Wow , a jump cut !",negative
10,... a magnificent drama well worth tracking down .,positive
11,... Hudlin is stuck trying to light a fire with soggy leaves .,negative
12,! Wow,positive
13,"... a story we haven't seen on the big screen before , and it's a story that we as Americans , and human beings , should know .",positive
14,... In this incarnation its fizz is infectious .,positive
15,! Zoom !,positive
16,"... an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young Gaghan's resume .",positive
17,"... a big , baggy , sprawling carnival of a movie , stretching out before us with little rhyme or reason .",negative
18,$ 1.8 million charmer,positive
19,... is an arthritic attempt at directing by Callie Khouri .,negative
20,"... a cute and sometimes side-splittingly funny blend of Legally Blonde and Drop Dead Gorgeous , starring Piper Perabo in what could be her breakthrough role .",positive
21,$ 100 million on this,positive
22,... nothing scary here except for some awful acting and lame special effects .,negative
23,"... a haunting vision , with images that seem more like disturbing hallucinations .",negative
24,$ 9 and 93 minutes of unrecoverable life,negative
25,... plays like somebody spliced random moments of a Chris Rock routine into what is otherwise a cliche-riddled but self-serious spy thriller .,negative
26,... a poignant and powerful narrative that reveals that reading writing and arithmetic are not the only subjects to learn in life .,positive
27,$ 99 bargain-basement special,negative
28,"... plot holes so large and obvious a marching band might as well be stomping through them in clown clothes , playing a college football fight song on untuned instruments .",negative
29,... a polished and relatively sincere piece of escapism .,positive
30,"& - white freeze frames reminiscent of a pseudo-hip luxury car commercial , ( it's ) at its worst when it's actually inside the ring",negative
31,... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock .,negative
32,"... ambition is in short supply in the cinema , and Egoyan tackles his themes and explores his characters ' crises with seriousness and compassion .",positive
33,& Amazing,positive
34,... with `` The Bourne Identity '' we return to the more traditional action genre .,positive
35,... an inviting piece of film .,positive
36,"& Stitch '' isn't the most edgy piece of Disney animation to hit the silver screen , then this first film to use a watercolor background since '' Dumbo '' certainly ranks as the most original in years .",positive
37,A beguiling splash of pastel colors and prankish comedy from Disney .,positive
38,"... an unimaginative , nasty , glibly cynical piece of work .",negative
39,& heart-rate-raising,positive
40,"A better title , for all concerned , might be Swept Under the Rug .",negative
41,... as the story congeals you feel the pieces of the Star Wars saga falling into place in a way that makes your spine tingle with revelation and excitement .,positive
