id,claim,model_receiver,model_sender,label_receiver,label_sender,explanation_receiver,explanation_sender,match_type
3,Mario didn't play as many games,gemma-3-4b,gemma-3-27b,literal,sarcastic,Mario has appeared in a vast number of games across various franchises.,"Referring to Mario, a video game icon, not playing 'many games' is ironic and implies he plays a lot.",0:1
3,Mario didn't play as many games,gemma-3-4b,gemma-3-27b,literal,sarcastic,"Mario has appeared in many games over time, despite not being the main character in every title.","Referring to Mario, a video game character, not playing ""many games"" is ironic given his prolific gaming presence.",0:1
3,Mario didn't play as many games,gemma-3-4b,gemma-3-27b,literal,sarcastic,"Mario has appeared in numerous games, though he hasn't been the main character in every title.","Referring to Mario, a video game character, not playing ""many games"" is ironic given his prolific gaming presence.",0:1
3,Mario didn't play as many games,gemma-3-4b,gemma-3-27b,literal,sarcastic,"Mario has appeared in many iconic games, despite not always being the main character.","Mario is a prolific video game character. The claim implies he rarely plays games, a humorous understatement.",0:1
3,Mario didn't play as many games,gemma-3-4b,gemma-3-27b,literal,sarcastic,"Mario has appeared in many games over time, despite not being the main character in every title.","Referring to Mario, a video game icon, not playing 'many games' is ironic and implies he plays a lot.",0:1
3,Mario didn't play as many games,gemma-3-4b,gemma-3-27b,literal,sarcastic,"Mario has appeared in numerous titles across various franchises, making the statement a factual observation.","Referring to Mario, a video game icon, not playing 'many games' is ironic and implies he plays a lot.",0:1
3,Mario didn't play as many games,gemma-3-4b,gemma-3-27b,literal,sarcastic,"Mario has appeared in numerous titles across various franchises, making the statement a factual observation.","Referring to Mario, a video game icon, not playing *many* games is ironic and implies he plays a lot.",0:1
3,Mario didn't play as many games,gemma-3-4b,gemma-3-27b,literal,sarcastic,"Mario has appeared in numerous titles across various franchises, making the statement a factual observation.","Referring to Mario, a video game character, not playing ""many games"" is ironic given his prolific gaming presence.",0:1
3,Mario didn't play as many games,gemma-3-4b,gemma-3-27b,literal,sarcastic,Mario has appeared in numerous games across various franchises.,"Mario is a prolific video game character. The claim implies he rarely plays games, a humorous understatement.",0:1
3,Mario didn't play as many games,gemma-3-4b,gemma-3-27b,literal,sarcastic,"Mario has appeared in many iconic games, despite not always being the main character.","Referring to Mario, a video game character, not playing ""many games"" is ironic given his prolific gaming presence.",0:1
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,gemma-3-27b,literal,sarcastic,"This is a factual statement about Xbox Live's history, not sarcasm.",The claim highlights the obvious progression of technology. Expressing 'amazing' at something inevitable implies disbelief or irony.,0:1
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,gemma-3-27b,literal,sarcastic,The statement is factual; Xbox Live has evolved over time and wasn't initially present.,"The claim highlights the obvious evolution of technology. Xbox Live's eventual existence was inevitable, making the 'amazing' sentiment ironic.",0:1
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,gemma-3-27b,literal,sarcastic,This is a factual statement about the history of Xbox Live.,"The claim highlights the obvious evolution of Xbox Live, implying disbelief or amusement at its past non-existence. It's a playful exaggeration.",0:1
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,gemma-3-27b,literal,sarcastic,This is a factual statement about the historical development of Xbox Live.,"The claim highlights the obvious evolution of technology. Xbox Live's eventual existence was inevitable, making the 'amazing' sentiment ironic.",0:1
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,gemma-3-27b,literal,sarcastic,This statement is factual and describes a historical reality about Xbox Live's origins.,The claim highlights the obvious progression of technology. Expressing 'amazing' at something inevitable implies disbelief or irony.,0:1
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,gemma-3-27b,literal,sarcastic,"This is a factual statement about the history of Xbox Live, requiring no sarcasm.","The claim highlights the obvious evolution of technology. Xbox Live's eventual existence was inevitable, making the 'amazing' sentiment ironic.",0:1
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,gemma-3-27b,literal,sarcastic,This is a factual statement about the historical development of Xbox Live.,"The claim highlights the obvious evolution of technology. Xbox Live's eventual existence was inevitable, making the 'amazing' sentiment ironic.",0:1
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,gemma-3-27b,literal,sarcastic,This is a factual statement about the historical development of Xbox Live.,The claim highlights the obvious progression of technology; implying disbelief that a modern service wasn't *always* available.,0:1
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,gemma-3-27b,literal,sarcastic,"This is a factual statement about the history of Xbox Live, not sarcasm.","The claim highlights the obvious evolution of technology. Xbox Live's eventual existence was inevitable, making the 'amazing' sentiment ironic.",0:1
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,gemma-3-27b,literal,sarcastic,"This is a factual statement about Xbox Live's history, not sarcasm.","The claim highlights the now-ubiquitous nature of Xbox Live with exaggerated surprise, implying disbelief it wasn't always around.",0:1
43,As long as the breakfast included bacon it should be considered acceptable.,gemma-3-4b,gemma-3-27b,sarcastic,literal,"This statement implies a humorous, overly specific requirement, suggesting the speaker doesn't genuinely expect bacon to always be present.","The statement expresses a clear preference for bacon at breakfast, without irony or exaggeration, making it a literal statement.",1:B
43,As long as the breakfast included bacon it should be considered acceptable.,gemma-3-4b,gemma-3-27b,sarcastic,literal,"This statement implies a humorous, overly specific requirement, suggesting the speaker doesn't genuinely expect bacon to always be present.","The statement expresses a clear preference for bacon at breakfast, a common and reasonable desire, indicating a literal meaning.",1:B
