id,text,label
0,The world trade center is no more because of 9/11?,yes
1,a pupil can be either a student or part of an eye,yes
2,Unity has a lot to do with family.,yes
3,Is a Mollusca a type of animal?,yes
4,Sheep are usually smaller than lambs.,no
5,Science has found a cure for cancer,no
6,A mirror is capable of talking to people.,no
7,A hole in a needle is smaller than a hole in a sponge.,yes
8,Is it true that a decision cannot be undone?,no
9,Male cardinals are red.,yes
10,Only after learning you can gain knowledge.,yes
11,You should trust your leaders only if you voted for them.,no
12,There are six places in the world named Iowa.,no
13,Each country has its own flag.,yes
14,Greece is larger than mexico,no
15,A word is never part of a sentence,no
16,Glasses always fog up,no
17,if a branch is broken it will bark,no
18,Is a cucumber cooler in temperature than its environment?,yes
19,Do teenagers always rebel against their parents?,no
20,An ant colony almost always has a king.,no
21,reading causes brain sezures.,no
22,A fish is capable of thinking,yes
23,A call of nature is another way of announcing a comfort break.,yes
24,A common effect of smoking lots of cigarettes in one's lifetime is a higher than normal chance of getting lung cancer.,yes
25,a rock is the same size as a pebble,no
26,A creek cannot overflow its banks.,no
27,A magician is someone who pulls a rabbit out of a hat.,yes
28,dawn is a dishwashing soap made of feathers,no
29,a power cord is smaller than a beetle,no
30,A museum almost never closes,no
31,"After you type down what you want, the computer reads it out loud. ",no
32,"Paying by check is a substitute for using a debit card, since the ultimate outcome is the same",yes
33,You need to have a friend before 5th grade,no
34,November comes after December.,no
35,Certain prints can cost a lot.,yes
36,We need at least one working tooth to taste.,no
37,Does all rock music have a singer and a guitarist?,no
38,The United States has states that are all exactly the same size,no
39,Is touch considered one of the five senses?,yes
40,You must always hang an artist's painting upside down.,no
41,"When you put things in a column, they have to be done in this order, largest to smallest. ",no
42,Some carpets are weaved by machine.,yes
43,"in the philosophy of plato, the conceptual part of an object which is its essence is known as its form",yes
44,Most firetrucks use nozzles at the end of their hoses. ,yes
45,A telephone is the same size as a truck.,no
46,is a corvette is a fast car?,yes
47,You can use a tissue only if you are crying.,no
48,The largest freshwater lake by surface area is the Caspian Sea.,no
49,done in this order it goes dependence independence communism,no
50,There is never wheat present in bread.,no
51,The battle of iwo jima was way before 1990,yes
52,A Proud Boy is considered in the radical right.,yes
53,can a dead person still be heard to speak on a recorded video,yes
54,A tissue holder is to hold beer cans.,no
55,a bar almost always has no alcohol,no
56,Is it important to pay your bill before you enter the restaurant?,no
57,a soda bottle is larger than a beetle,yes
58,The scattering parameters of a passive filter should always be smaller than 0 dB.,yes
59,Some children understand yes or no questions.,yes
60,assumption can lead to misunderstanding because you don't always know everything,yes
61,Does the minimum wage in America never increase?,no
62,it has been said that sometimes beauty is in the eye of the beholder,yes
63,A suit is a thing that is the exact same as a tuxedo.,no
64,The people in South Carolina are larger than any other state.,no
65,A servant is someone who is highly paid,no
66,A story book is the same size as a novel.,no
67,"The book ""Little House in the Big Woods"" is a part of the Ingalls family saga.",yes
68,"After all is said and done, a server and a servant are the same thing.",no
69,"Eat your food and then prepare it, done in this order.",no
70,"Do emotions always happen in this order, happy then sad?",no
71,"broken windows theory is used in criminology as a way to say that if people do not take care of broken windows when they happen, it will cause more vandalism to occur",yes
72,A demonstration outside of city hall usually causes someone to want to buy the product,no
73,A comma comes after the end of the words in a sentence.,no
74,A guy is the same size as an elephant.,no
75,Winning the lottery causes personal taxes to go up for the winner.,yes
76,A crane operator cannot work as a mainframe operator.,no
77,A transition that goes smoothly can be the most stressful kind.,no
78,You can own Apple stocks only if you are named Steve Jobs.,no
79,Is using guns is a very effective way to win a war?,yes
80,done in this order eating a meal goes: cooking eating cleaning,yes
81,the affect of killing is permanent,yes
82,It is required to take an oath ,no
83,In egypt people almost always travel by boat.,no
84,Only if you eat vegetables will you have good vision.,no
85,It is sometimes hard to make people laugh.,yes
86,News agencies are biased because they get payed by politicians and lobbies,no
87,Researchers have found stars larger than our sun.,yes
88,a theater causes hemorroids ,no
89,"After stealing from a store, the robber is always caught.",no
90,A person has to see something to believe it exists.,no
91,Theory of relativity is useless because it did not help us get to moon.,no
92,People listen to the radio in a car but not in a truck,no
93,a fast eater almost never has heartburn,no
94,All people sometimes commit a crime,no
95,A server cannot be rude to you,no
96,"Being named Michael causes some people to call you ""Mike"".",yes
97,You can never have a relatives that aren't related to you genetically by blood?,no
98,A teacher has to have a prewritten lesson plan in order to teach a class effectively. ,yes
99,Are none of the Shell gas stations in Ohio?,no
100,The spider monkey is a close relative to the woolly monkey.,yes
101,Simplicity is overvalued is a common saying within finance world,yes
102,"When going to a Broadway show, a person will be handed a program showing who is playing each part in the play. ",yes
103,Meat ordered like this (online) is usually not fresh,no
104,You should recharge fire extinguishers after they have been used.,yes
105,a Methuselah wine bottle holds 6 liters,yes
106,Eating breakfast early is a sin.,no
107,Few people use windows as their computer platform.,no
108,italy is part of the african nations,no
109,You can sometimes stand on a chair with wheels because your weight prevents them from moving too much.,yes
110,Part of uncertainty is not knowing what is going to happen.,yes
111,All books use a binding so the pages can easily fall out,no
112,The most dangerous part of an earthquake is the wind that is created from it.,no
113,Kids wait in lines before the bus comes,yes
114,all photographs comes from acorns,no
115,no two people can have the same dna,no
116,Michael jackson is same size as larry king,no
117,Is an arc welder used after carefully positioning two pieces of fiberglass in their intended position?,no
118,all people go to mass,no
119,The Gideons started leaving bibles in hotel rooms in 1908,yes
120,January has more days in leap year.,no
121,An incident cannot be reported to the police.,no
122,People always leave on time,no
123,A minority of people prefer lunar vacations because local beaches are much warmer.,no
124,Audience usually has microphones if attending show like britain's got talent,no
125,Reading books is part of a book reviewers resume.,yes
126,the old testament cannot be written after the new testament,yes
127,do spiders make webs ?,yes
128,Is it true that the nation under Kublai Khan ever launched a successful military campaign against Japan?,no
129,A baseball player is usually arrested after stealing a base.,no
130,Using a computer causes Bill Gates to read your mind.,no
131,before an accountant can become certified they need not pass the test,no
132,Black Americans were native to North America before the Europeans colonized it.,no
133,"In Canada, Thanksgiving Holiday is not observed in November.",yes
134,Brazil has second most coronavirus deaths,yes
135,Reports of spiders larger than dogs are common in New York City.,no
136,Most people do not drink water ,no
137,a printer carriage is smaller than a horse carriage,yes
138,the word apex cannot start with a consonant,yes
139,Columbia is always growing poppy plants.,yes
140,Having a garden full of Hydrangea flowers can causes an increase of cat deaths in the area.,yes
141,Conversation causes better political outcomes than war.,yes
142,A socialist is a believer in the redistribution of wealth to benefit all members of a society.,yes
143,People almost always lose faith in humanity. ,no
144,"For the town of Narvik, Norway, darkness is a part of life as the sun doesn't rise for several months out of the year.",yes
145,Some shoe designs causes damage to the feet of the wearer.,yes
146,"People in Jackson, Mississippi can vote past the age of 18.",yes
147,Palm trees are part of the scenary in New Jersey.,no
148,Indiana is further south than Alaska,yes
149,None can argue that Nissan Leaf does not have any batteries.,yes
150,Can a kitchen be used to cook food?,yes
151,Never turn off the water valve before changing the faucet.,no
152,to examine is part of a doctor's plan,yes
153,devil is smaller than bot in vowel count,no
154,"If you are from Pennsylvania, you are automatically a citizen of New York State.",no
155,"The surface of the sun is as hot as 10,000 Fahrenheit?",yes
156,"If you are eating, that means you are chewing. ",no
157,Stabbing to death has never been the cause of assassination of a US President,yes
158,many ideas come to awareness before they get implemented   ,yes
159,Is it generally recommended that you elevate an injury before applying ice and compression?,no
160,Everyone on the highway always drives under the speed limit.,no
161,at least two letters in tank are t and q,no
162,"At a kid's birthday party, a person who doesn't like cake and ice cream is a person in the minority.",yes
163,Metal can flow at room temperature.,no
164,A criminal always has a record,no
165,Lipstick only comes in red because it is for lips.,no
166,Even in the year 2020 some people believed the Earth was flat?,yes
167,A cup is a type of animal,no
168,"Is the president who said ""nothing to fear but fear itself"" from the Republican party?",no
169,The legislature has to vote on laws?,yes
170,"Before dirt turns into mud, water must be added",yes
171,Silver value is smaller than gold,yes
172,The Conservative Party is the same size as the Labour Party.,no
173,a few is more than 2,yes
174,Road rage can be dangerous and the road should be sent to anger management classes.,no
175,A horse almost never gallops. ,no
176,Some salesman try to trick customers. ,yes
177,It is possible for two high rise buildings to be exactly the same size as each other.,yes
178,A club is a part of a suit.,no
179,"When you lose a pet, you can use Lost notices to help find them.",yes
180,"The movie ""Saturday Night Fever"" is part of Donna Pescow's body of work.",yes
181,February is smaller than any other month in terms of days.,yes
182,a canal almost never ends,no
183,A castle larger than the moon currently exists in Europe?,no
184,"If a person argues often, it means he is shy",no
185,White blood cells are less important as red blood cells because the latter carry oxygen.,no
186,Problem is a word with more vowels than consonants,no
187,"In general in the US, are there more female teachers in middle and high schools than male teachers?",yes
188,A playground has elephants in it.,no
189,Leaders cannot always know what is the best decision to be made,yes
190,Are huskies the only dog breed used in the Iditarod?,no
191,Does someone join the Army Reserve because they want to join combat immediately?,no
192,The standard bowling alley lanes are of the same size as each other.,yes
193,Being a reader causes you to lose knowledge,no
194,Fame and fair are ordered like this alphabetically.,no
195,an organism can perform photosynthesis only if the organism is a mammal,no
196,Tin cannot be found on the periodic table.,no
197,"If you choose to vote, you have violated the rules of citizenship.",no
198,All teachers are in a union?,no
199,news cannot be false,no
200,Has a Polish scientist won Nobel prizes in two separate subjects?,yes
201,Humans eat food only if they are hungry.,no
202,a net has no holes,no
203,You can only win a medal at the Olympics if you place in the top 3?,yes
204,Part of being a good conversationalist is being able to listen to the other person without interrupting. ,yes
