id,claim,model_sender,model_receiver,label_sender,label_receiver,explanation_sender,explanation_receiver,match_type
2,The least funny satirical article I've ever read.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,"Tone implies opposite meaning, indicating sarcasm.","The claim expresses negativity towards satire, implying it failed to be funny, which is likely a sarcastic exaggeration.",0-1
2,The least funny satirical article I've ever read.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,"Tone implies opposite meaning, indicating sarcasm.","The claim expresses negativity toward satire, implying the article was exceptionally bad, likely meaning it was intended to be funny but failed.",0-1
2,The least funny satirical article I've ever read.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,"Tone implies opposite meaning, criticizing article's humor.","The claim expresses negativity towards satire, implying it failed to be funny, likely signaling sarcasm due to exaggeration.",0-1
2,The least funny satirical article I've ever read.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,"The phrase 'least funny' is an understatement, implying the article is not funny at all.","The claim expresses negativity towards satire, implying it failed to be funny, likely signaling sarcasm due to exaggeration.",0-1
2,The least funny satirical article I've ever read.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,"The phrase 'least funny' is an understatement, implying the article is not satirical.","The claim expresses negativity towards satire, implying it failed to be funny, which is likely a sarcastic exaggeration.",0-1
2,The least funny satirical article I've ever read.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,"Tone implies opposite meaning, criticizing the article's humor.","The claim expresses negativity towards satire, implying it failed to be funny. This is a common sarcastic expression of disappointment.",0-1
2,The least funny satirical article I've ever read.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,"The phrase 'least funny' is an understatement, implying the article is not satirical.","The claim expresses dissatisfaction with satire by calling it ""least funny,"" implying it was actually unfunny and therefore bad satire.",0-1
2,The least funny satirical article I've ever read.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,"Tone implies opposite meaning, indicating sarcasm.","The claim expresses extreme negativity towards satire, implying it's exceptionally unfunny, which is likely insincere praise.",0-1
2,The least funny satirical article I've ever read.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,"Tone implies opposite meaning, indicating sarcasm.","The claim expresses dissatisfaction with satire by calling it ""least funny,"" implying it was actually unfunny and therefore bad satire.",0-1
2,The least funny satirical article I've ever read.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,"Tone implies opposite meaning, criticizing article's humor.","The claim expresses negativity towards satire, implying the article failed at being funny, which is a common sarcastic response.",0-1
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,Description is detailed and plausible.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-1
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,Description is detailed and factual.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-1
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,Description is detailed and factual.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-1
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,Description is detailed and factual.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-1
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,Description is detailed and plausible.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-1
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,Description is detailed and factual.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-1
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,Describes a plausible action.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-1
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,Describes a plausible action.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-1
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,"Description is detailed and factual, lacking sarcasm indicators.","The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-1
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,Description is detailed and plausible.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-1
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The phrasing is overly specific and technical for a simple mistake, implying disbelief or mockery of the initial assessment.",1-B
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The claim describes an absurd and physically improbable method of jamming a firearm, suggesting disbelief or mockery.",1-B
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The claim describes an absurd and improbable method of jamming a firearm, strongly implying the speaker is being sarcastic.",1-B
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The claim describes an improbable and humorous scenario, suggesting the speaker is being facetious about how the item was jammed.",1-B
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The claim describes an improbable and humorous scenario, suggesting the speaker is being facetious about how the item was jammed.",1-B
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The phrasing is overly specific and technical for a simple mistake, implying disbelief or mockery of the initial assessment.",1-B
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The claim describes an absurd and improbable method of jamming a firearm, strongly implying the speaker is being sarcastic.",1-B
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The claim describes an improbable and humorous scenario, suggesting the speaker is being facetious about how the item was jammed.",1-B
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",1-B
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The claim describes an absurd and improbable method of jamming a firearm, strongly implying the speaker is being sarcastic.",1-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,Describes a plausible action.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,Description is detailed and plausible.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,Description is detailed and lacks irony.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,Description is detailed and plausible.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,Description is detailed and factual.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,Describes a plausible action.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,Description is detailed and factual.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-B
