model_receiver,model_sender,match_type_extended,total_positive_delta,total_positive_budget,total_negative_delta,total_negative_budget,possible_positive_count,possible_negative_count,count,positive_delta_realisation,negative_delta_realisation
gemma-3-27b,gemma-3-4b,0:1,5499.6,6131.0,0.0,0.0,6131,0,6131,0.8970151688142228,
gemma-3-27b,gemma-3-4b,0:B(sarcastic),344.2,411.0,0.0,0.0,411,0,411,0.8374695863746958,
gemma-3-27b,gemma-3-4b,1:0,1177.9,1993.0,0.0,0.0,1993,0,1993,0.591018564977421,
gemma-3-27b,gemma-3-4b,1:B(literal),403.2,713.0,0.0,0.0,713,0,713,0.5654978962131837,
gemma-3-27b,gemma-3-4b,B(literal):1,1121.1,1183.8,-17.900000000000002,1255.2,2439,2439,2439,0.9470349721236695,-0.014260675589547484
gemma-3-27b,gemma-3-4b,B(literal):B(sarcastic),36.9,38.6,0.0,39.4,78,78,78,0.9559585492227979,0.0
gemma-3-27b,gemma-3-4b,B(sarcastic):0,142.9,162.2,-7.5,142.8,305,305,305,0.8810110974106042,-0.05252100840336134
gemma-3-27b,gemma-3-4b,B(sarcastic):B(literal),34.5,39.4,-0.9,38.6,78,78,78,0.8756345177664975,-0.023316062176165803
gemma-3-27b,gpt-oss-20b,0:1,17.5,18.0,0.0,0.0,18,0,18,0.9722222222222222,
gemma-3-27b,gpt-oss-20b,0:B(sarcastic),1765.9,1811.0,0.0,0.0,1811,0,1811,0.9750966316951961,
gemma-3-27b,gpt-oss-20b,1:0,5826.2,7000.0,0.0,0.0,7000,0,7000,0.8323142857142857,
gemma-3-27b,gpt-oss-20b,1:B(literal),3786.4,7000.0,0.0,0.0,7000,0,7000,0.5409142857142857,
gemma-3-27b,gpt-oss-20b,B(literal):1,7.6000000000000005,7.7,0.0,7.3,15,15,15,0.987012987012987,0.0
gemma-3-27b,gpt-oss-20b,B(literal):B(sarcastic),445.2,448.7,-3.0,501.3,950,950,950,0.9921996879875195,-0.005984440454817474
gemma-3-27b,gpt-oss-20b,B(sarcastic):0,919.5,948.2,-3.5,908.8,1857,1857,1857,0.9697321240244674,-0.0038512323943661973
gemma-3-27b,gpt-oss-20b,B(sarcastic):B(literal),470.3,501.3,-8.1,448.7,950,950,950,0.9381607819668861,-0.018052150657454868
gemma-3-27b,llama-3.3-70b,0:1,396.9,421.0,0.0,0.0,421,0,421,0.9427553444180522,
gemma-3-27b,llama-3.3-70b,0:B(sarcastic),483.5,524.0,0.0,0.0,524,0,524,0.9227099236641222,
gemma-3-27b,llama-3.3-70b,1:0,4482.5,7000.0,0.0,0.0,7000,0,7000,0.6403571428571428,
gemma-3-27b,llama-3.3-70b,1:B(literal),3563.8,7000.0,0.0,0.0,7000,0,7000,0.5091142857142857,
gemma-3-27b,llama-3.3-70b,B(literal):1,173.4,181.8,-2.8,216.2,398,398,398,0.9537953795379538,-0.012950971322849213
gemma-3-27b,llama-3.3-70b,B(literal):B(sarcastic),178.7,185.3,-2.5,202.7,388,388,388,0.9643820831084726,-0.0123334977799704
gemma-3-27b,llama-3.3-70b,B(sarcastic):0,886.7,1037.9,-58.7,998.1,2036,2036,2036,0.8543212255515945,-0.05881174231038974
