id,claim,model,repetition,label,explanation,valid_json,raw_text
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,0,sarcastic,"The claim describes an implausible and humorous method of firearm malfunction, indicating sarcasm due to its absurdity.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The claim describes an implausible and humorous method of firearm malfunction, indicating sarcasm due to its absurdity.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,1,sarcastic,"The claim uses harsh language and exaggeration regarding the Browns' QB selections, indicating strong disapproval and likely sarcasm.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The claim uses harsh language and exaggeration regarding the Browns' QB selections, indicating strong disapproval and likely sarcasm.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,2,sarcastic,"Referring to Mario's prolific appearances in numerous games, the statement is intentionally understated and ironic.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""Referring to Mario's prolific appearances in numerous games, the statement is intentionally understated and ironic.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,3,sarcastic,"The claim highlights the obvious progression of technology, implying surprise at something inevitable; clearly sarcastic.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The claim highlights the obvious progression of technology, implying surprise at something inevitable; clearly sarcastic.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,4,sarcastic,"The phrase ""synical ploy"" and reference to an upcoming election suggests the statement is a sarcastic observation about political motivations.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The phrase \\\""synical ploy\\\"" and reference to an upcoming election suggests the statement is a sarcastic observation about political motivations.\""}"""
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-27b,0,sarcastic,"The claim uses dismissive language and sets an arbitrary, high bar, suggesting a sarcastic tone towards lower-level players.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The claim uses dismissive language and sets an arbitrary, high bar, suggesting a sarcastic tone towards lower-level players.\""}"""
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-27b,1,sarcastic,"The phrase uses informal language (""fkin"", ""obvs"") and exaggerates the reaction to a serious topic (galaxy collapse) to express sarcasm.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The phrase uses informal language (\\\""fkin\\\"", \\\""obvs\\\"") and exaggerates the reaction to a serious topic (galaxy collapse) to express sarcasm.\""}"""
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-27b,2,literal,"The claim is a straightforward statement of fact regarding ownership of a title, lacking indicators of sarcasm.",True,"""{\""label\"":\""literal\"",\""explanation\"":\""The claim is a straightforward statement of fact regarding ownership of a title, lacking indicators of sarcasm.\""}"""
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-27b,3,sarcastic,"The phrasing implies disbelief in further overlaps, using 'too' to emphasize an unwanted continuation.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The phrasing implies disbelief in further overlaps, using 'too' to emphasize an unwanted continuation.\""}"""
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-27b,4,sarcastic,The statement highlights the absurdity of needing Aston Martin's confirmation about something obviously fake.,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The statement highlights the absurdity of needing Aston Martin's confirmation about something obviously fake.\""}"""
