id,claim,model,repetition,label,explanation,valid_json,raw_text
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,0,sarcastic,"A humorous way to describe a clumsy action, implying it wasn't done intentionally.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""A humorous way to describe a clumsy action, implying it wasn't done intentionally.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,1,sarcastic,"A harsh and unfair assessment of the Browns' quarterback situation, meant to be humorous.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""A harsh and unfair assessment of the Browns' quarterback situation, meant to be humorous.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,2,literal,Mario has appeared in many games over the years.,True,"""{\""label\"": \""literal\"", \""explanation\"": \""Mario has appeared in many games over the years.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,3,literal,Xbox Live has historically existed. This statement acknowledges a past fact.,True,"""{\""label\"": \""literal\"", \""explanation\"": \""Xbox Live has historically existed. This statement acknowledges a past fact.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,4,sarcastic,"A cynical and somewhat pessimistic observation about political activity, implying a planned event.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""A cynical and somewhat pessimistic observation about political activity, implying a planned event.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,0,sarcastic,"The claim describes a highly unusual and improbable method of operating a firearm, implying disbelief or mockery.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim describes a highly unusual and improbable method of operating a firearm, implying disbelief or mockery.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,1,sarcastic,A harsh statement implying the Browns are bad at quarterbacks.,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""A harsh statement implying the Browns are bad at quarterbacks.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,2,literal,Mario has appeared in many games over the years.,True,"""{\""label\"": \""literal\"", \""explanation\"": \""Mario has appeared in many games over the years.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,3,literal,A factual statement about the history of Xbox Live.,True,"""{\""label\"": \""literal\"", \""explanation\"": \""A factual statement about the history of Xbox Live.\""}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,4,sarcastic,"Expressing skepticism about a potential election, implying it's a manipulative tactic.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""Expressing skepticism about a potential election, implying it's a manipulative tactic.\""}"""
