model_receiver,model_sender,label_receiver_before,label_sender_before,id,match_type,p_round_2,model,p_pos,p_neg,delta,max_delta,max_delta_neg,delta_positive_only,delta_negative_only
gemma-3-27b,gemma-3-27b,no,yes,31,B:B,1.0,gemma-3-27b,0.1,0.9,0.9,0.9,0.09999999999999998,0.9,0.0
gemma-3-27b,gemma-3-27b,no,yes,53,B:B,1.0,gemma-3-27b,0.9,0.1,0.09999999999999998,0.09999999999999998,0.9,0.09999999999999998,0.0
gemma-3-27b,gemma-3-27b,no,yes,80,B:B,1.0,gemma-3-27b,0.1,0.9,0.9,0.9,0.09999999999999998,0.9,0.0
gemma-3-27b,gemma-3-27b,no,yes,86,B:B,1.0,gemma-3-27b,0.1,0.9,0.9,0.9,0.09999999999999998,0.9,0.0
gemma-3-27b,gemma-3-27b,no,yes,105,B:B,0.4,gemma-3-27b,0.9,0.1,-0.5,0.09999999999999998,0.9,0.0,-0.5
gemma-3-27b,gemma-3-27b,no,yes,109,B:B,1.0,gemma-3-27b,0.9,0.1,0.09999999999999998,0.09999999999999998,0.9,0.09999999999999998,0.0
gemma-3-27b,gemma-3-27b,no,yes,120,B:B,0.2,gemma-3-27b,0.8,0.2,-0.6000000000000001,0.19999999999999996,0.8,0.0,-0.6000000000000001
gemma-3-27b,gemma-3-27b,no,yes,182,B:B,1.0,gemma-3-27b,0.8,0.2,0.19999999999999996,0.19999999999999996,0.8,0.19999999999999996,0.0
gemma-3-27b,gemma-3-27b,no,yes,203,B:B,0.6,gemma-3-27b,0.3,0.7,0.3,0.7,0.30000000000000004,0.3,0.0
gemma-3-27b,gemma-3-27b,no,yes,262,B:B,0.1,gemma-3-27b,0.3,0.7,-0.19999999999999998,0.7,0.30000000000000004,0.0,-0.19999999999999998
gemma-3-27b,gemma-3-27b,no,yes,283,B:B,0.5,gemma-3-27b,0.5,0.5,0.0,0.5,0.5,0.0,0.0
gemma-3-27b,gemma-3-27b,no,yes,351,B:B,0.8,gemma-3-27b,0.3,0.7,0.5,0.7,0.30000000000000004,0.5,0.0
gemma-3-27b,gemma-3-27b,no,yes,434,B:B,1.0,gemma-3-27b,0.1,0.9,0.9,0.9,0.09999999999999998,0.9,0.0
gemma-3-27b,gemma-3-27b,no,yes,445,B:B,0.0,gemma-3-27b,0.4,0.6,-0.4,0.6,0.4,0.0,-0.4
gemma-3-27b,gemma-3-27b,no,yes,581,B:B,0.7,gemma-3-27b,0.3,0.7,0.39999999999999997,0.7,0.30000000000000004,0.39999999999999997,0.0
gemma-3-27b,gemma-3-27b,no,yes,694,B:B,1.0,gemma-3-27b,0.5,0.5,0.5,0.5,0.5,0.5,0.0
gemma-3-27b,gemma-3-27b,no,yes,745,B:B,0.0,gemma-3-27b,0.7,0.3,-0.7,0.30000000000000004,0.7,0.0,-0.7
gemma-3-27b,gemma-3-27b,no,yes,781,B:B,1.0,gemma-3-27b,0.2,0.8,0.8,0.8,0.19999999999999996,0.8,0.0
gemma-3-27b,gemma-3-27b,no,yes,901,B:B,0.4,gemma-3-27b,0.5,0.5,-0.09999999999999998,0.5,0.5,0.0,-0.09999999999999998
gemma-3-27b,gemma-3-27b,no,yes,903,B:B,0.4,gemma-3-27b,0.6,0.4,-0.19999999999999996,0.4,0.6,0.0,-0.19999999999999996
gemma-3-27b,gemma-3-27b,no,yes,913,B:B,1.0,gemma-3-27b,0.9,0.1,0.09999999999999998,0.09999999999999998,0.9,0.09999999999999998,0.0
gemma-3-27b,gemma-3-27b,no,yes,1040,B:B,1.0,gemma-3-27b,0.3,0.7,0.7,0.7,0.30000000000000004,0.7,0.0
gemma-3-27b,gemma-3-27b,no,yes,1060,B:B,1.0,gemma-3-27b,0.4,0.6,0.6,0.6,0.4,0.6,0.0
gemma-3-27b,gemma-3-27b,no,yes,1066,B:B,1.0,gemma-3-27b,0.4,0.6,0.6,0.6,0.4,0.6,0.0
gemma-3-27b,gemma-3-27b,no,yes,1086,B:B,0.8,gemma-3-27b,0.5,0.5,0.30000000000000004,0.5,0.5,0.30000000000000004,0.0
gemma-3-27b,gemma-3-27b,no,yes,1203,B:B,0.0,gemma-3-27b,0.1,0.9,-0.1,0.9,0.09999999999999998,0.0,-0.1
gemma-3-27b,gemma-3-27b,no,yes,1258,B:B,1.0,gemma-3-27b,0.3,0.7,0.7,0.7,0.30000000000000004,0.7,0.0
gemma-3-27b,gemma-3-27b,no,yes,1262,B:B,1.0,gemma-3-27b,0.3,0.7,0.7,0.7,0.30000000000000004,0.7,0.0
gemma-3-27b,gemma-3-27b,no,yes,1310,B:B,1.0,gemma-3-27b,0.1,0.9,0.9,0.9,0.09999999999999998,0.9,0.0
gemma-3-27b,gemma-3-27b,no,yes,1321,B:B,0.2,gemma-3-27b,0.4,0.6,-0.2,0.6,0.4,0.0,-0.2
gemma-3-27b,gemma-3-27b,no,yes,1368,B:B,0.0,gemma-3-27b,0.2,0.8,-0.2,0.8,0.19999999999999996,0.0,-0.2
gemma-3-27b,gemma-3-27b,no,yes,1408,B:B,0.0,gemma-3-27b,0.1,0.9,-0.1,0.9,0.09999999999999998,0.0,-0.1
gemma-3-27b,gemma-3-27b,no,yes,1492,B:B,0.5,gemma-3-27b,0.9,0.1,-0.4,0.09999999999999998,0.9,0.0,-0.4
gemma-3-27b,gemma-3-27b,no,yes,1566,B:B,1.0,gemma-3-27b,0.7,0.3,0.30000000000000004,0.30000000000000004,0.7,0.30000000000000004,0.0
gemma-3-27b,gemma-3-27b,no,yes,1590,B:B,0.0,gemma-3-27b,0.7,0.3,-0.7,0.30000000000000004,0.7,0.0,-0.7
gemma-3-27b,gemma-3-27b,no,yes,1617,B:B,1.0,gemma-3-27b,0.9,0.1,0.09999999999999998,0.09999999999999998,0.9,0.09999999999999998,0.0
gemma-3-27b,gemma-3-27b,no,yes,1672,B:B,0.1,gemma-3-27b,0.8,0.2,-0.7000000000000001,0.19999999999999996,0.8,0.0,-0.7000000000000001
gemma-3-27b,gemma-3-27b,no,yes,1698,B:B,1.0,gemma-3-27b,0.1,0.9,0.9,0.9,0.09999999999999998,0.9,0.0
gemma-3-27b,gemma-3-27b,no,yes,1744,B:B,0.4,gemma-3-27b,0.8,0.2,-0.4,0.19999999999999996,0.8,0.0,-0.4
gemma-3-27b,gemma-3-27b,no,yes,1752,B:B,1.0,gemma-3-27b,0.2,0.8,0.8,0.8,0.19999999999999996,0.8,0.0
gemma-3-27b,gemma-3-27b,no,yes,1792,B:B,0.3,gemma-3-27b,0.6,0.4,-0.3,0.4,0.6,0.0,-0.3
gemma-3-27b,gemma-3-27b,no,yes,1809,B:B,0.2,gemma-3-27b,0.3,0.7,-0.09999999999999998,0.7,0.30000000000000004,0.0,-0.09999999999999998
gemma-3-27b,gemma-3-27b,no,yes,1810,B:B,0.0,gemma-3-27b,0.8,0.2,-0.8,0.19999999999999996,0.8,0.0,-0.8
