id,claim,model_sender,model_receiver,label_sender,label_receiver,explanation_sender,explanation_receiver,match_type
2,The least funny satirical article I've ever read.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim expresses negativity toward satire, implying the article was exceptionally bad, likely meaning it was intended to be funny but failed.","Tone implies opposite meaning, criticizing article's humor.",1-0
2,The least funny satirical article I've ever read.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim expresses negativity towards satire, implying the article failed at being funny, which is a common sarcastic response.","Tone implies opposite meaning, criticizing the article's humor.",1-0
2,The least funny satirical article I've ever read.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim expresses extreme negativity towards satire, implying it's exceptionally unfunny, which is likely insincere praise.","Tone implies opposite meaning, criticizing the article's humor.",1-0
2,The least funny satirical article I've ever read.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim expresses extreme negativity towards satire, implying the article was exceptionally unfunny, a sarcastic exaggeration.","The phrase 'least funny' is an understatement, implying the article is not satirical.",1-0
2,The least funny satirical article I've ever read.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim expresses extreme negativity towards satire, implying the article was exceptionally unfunny, a sarcastic exaggeration.","Tone implies opposite meaning, indicating sarcasm.",1-0
2,The least funny satirical article I've ever read.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim expresses extreme negativity towards satire, implying the article was exceptionally unfunny – a sarcastic exaggeration.","Tone implies opposite meaning, indicating sarcasm.",1-0
2,The least funny satirical article I've ever read.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim expresses negativity toward satire, implying the article was exceptionally bad, likely meaning it was intended to be funny but failed.","Tone implies opposite meaning, criticizing article's humor.",1-0
2,The least funny satirical article I've ever read.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim expresses dissatisfaction with satire by calling it ""least funny,"" implying it was actually unfunny and therefore bad satire.","Tone implies opposite meaning, criticizing the article's humor.",1-0
2,The least funny satirical article I've ever read.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim expresses negativity toward satire, implying the article was exceptionally bad, likely meaning it was intended to be funny but failed.","Tone implies opposite meaning, criticizing the article's humor.",1-0
2,The least funny satirical article I've ever read.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim expresses negativity towards satire, implying it failed to be funny, which is likely a sarcastic exaggeration.","Tone implies opposite meaning, criticizing article's humor.",1-0
