id,claim,model_receiver,model_sender,label_receiver,label_sender,explanation_receiver,explanation_sender,match_type
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the description of a complex action is presented in a straightforward manner, implying the opposite of its literal meaning.",Description is detailed and factual.,B:0
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because it uses a hyper-specific and technical description of a common action, implying that the speaker is being facetious about the person's supposed clumsiness.",Description is detailed and factual.,B:0
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the description of the action is overly detailed and absurd, indicating the speaker is being facetious.",Describes a plausible action.,B:0
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the description of the action is overly detailed and absurd, indicating the speaker is being facetious.",Description is detailed and plausible.,B:0
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the description of the action is overly detailed and absurd, indicating the speaker is being facetious.",Description is detailed and factual.,B:0
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because it uses a hyper-specific and technical description of a common action, implying that the speaker is being facetious about the person's supposed clumsiness.","Description is detailed and factual, lacking sarcasm indicators.",B:0
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because it uses a hyper-specific and technical description of a common action, implying that the speaker is being facetious about the person's supposed clumsiness.",Describes a plausible action.,B:0
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"This claim is sarcastic because it describes a specific action that is unlikely to be true, and the tone suggests the speaker is being facetious.",Description is detailed and plausible.,B:0
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the description of a complex action is presented in a straightforward manner, implying the opposite of its literal meaning.",Description is detailed and plausible.,B:0
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the description of the action is overly detailed and incredulous, implying that the speaker is expressing disbelief or annoyance.",Description is detailed and plausible.,B:0
