model_receiver,model_sender,match_type,total_positive_delta,total_positive_budget,total_negative_delta,total_negative_budget,possible_positive_count,possible_negative_count,count,positive_delta_realisation,negative_delta_realisation
gemma-3-27b,gemma-3-27b,B:B,1284.5,1334.0,-21.6,1334.0,2668,2668,2668,0.9628935532233883,-0.016191904047976012
gemma-3-27b,gemma-3-4b,0:1,1184.3,2042.0,0.0,0.0,2042,0,2042,0.5799706170421155,
gemma-3-27b,gemma-3-4b,0:B,230.4,396.0,0.0,0.0,396,0,396,0.5818181818181818,
gemma-3-27b,gemma-3-4b,1:0,4607.3,5200.0,0.0,0.0,5200,0,5200,0.8860192307692308,
gemma-3-27b,gemma-3-4b,1:B,607.1,745.0,0.0,0.0,745,0,745,0.8148993288590605,
gemma-3-27b,gemma-3-4b,B:0,401.5,409.2,-0.30000000000000004,436.8,846,846,846,0.9811827956989247,-0.0006868131868131869
gemma-3-27b,gemma-3-4b,B:1,175.0,198.4,-14.700000000000001,220.6,419,419,419,0.8820564516129032,-0.06663644605621034
gemma-3-27b,gemma-3-4b,B:B,65.8,68.0,-1.9000000000000001,68.0,136,136,136,0.9676470588235294,-0.027941176470588237
gemma-3-27b,gpt-oss-20b,0:1,729.0,972.0,0.0,0.0,972,0,972,0.75,
gemma-3-27b,gpt-oss-20b,0:B,4002.4,5989.0,0.0,0.0,5989,0,5989,0.6682918684254466,
gemma-3-27b,gpt-oss-20b,1:0,913.0,952.0,0.0,0.0,952,0,952,0.9590336134453782,
gemma-3-27b,gpt-oss-20b,1:B,6262.5,7000.0,0.0,0.0,7000,0,7000,0.8946428571428572,
gemma-3-27b,gpt-oss-20b,B:0,129.0,129.0,0.0,148.0,277,277,277,1.0,0.0
gemma-3-27b,gpt-oss-20b,B:1,111.0,119.5,-6.5,134.5,254,254,254,0.9288702928870293,-0.048327137546468404
gemma-3-27b,gpt-oss-20b,B:B,765.2,803.0,-16.3,803.0,1606,1606,1606,0.9529265255292653,-0.02029887920298879
gemma-3-27b,llama-3.3-70b,0:1,2925.4,4394.0,0.0,0.0,4394,0,4394,0.665771506599909,
gemma-3-27b,llama-3.3-70b,0:B,539.1,970.0,0.0,0.0,970,0,970,0.5557731958762887,
gemma-3-27b,llama-3.3-70b,1:0,665.3,710.0,0.0,0.0,710,0,710,0.9370422535211267,
gemma-3-27b,llama-3.3-70b,1:B,253.2,273.0,0.0,0.0,273,0,273,0.9274725274725274,
gemma-3-27b,llama-3.3-70b,B:0,106.2,107.8,-0.20000000000000007,116.2,224,224,224,0.9851576994434138,-0.0017211703958691915
gemma-3-27b,llama-3.3-70b,B:1,426.6,514.8,-42.4,518.2,1033,1033,1033,0.8286713286713288,-0.08182169046700115
gemma-3-27b,llama-3.3-70b,B:B,67.9,77.0,-3.3,77.0,154,154,154,0.881818181818182,-0.04285714285714286
gemma-3-27b,qwen-2.5-72b,0:1,1345.5,1723.0,0.0,0.0,1723,0,1723,0.7809053975623912,
gemma-3-27b,qwen-2.5-72b,0:B,487.9,654.0,0.0,0.0,654,0,654,0.7460244648318043,
gemma-3-27b,qwen-2.5-72b,1:0,1985.9,2097.0,0.0,0.0,2097,0,2097,0.9470195517405818,
gemma-3-27b,qwen-2.5-72b,1:B,740.1,788.0,0.0,0.0,788,0,788,0.9392131979695432,
gemma-3-27b,qwen-2.5-72b,B:0,286.9,289.8,-0.20000000000000007,302.2,592,592,592,0.9899930986887507,-0.0006618133686300465
gemma-3-27b,qwen-2.5-72b,B:1,267.1,290.4,-15.700000000000001,298.6,589,589,589,0.9197658402203859,-0.052578700602813125
gemma-3-27b,qwen-2.5-72b,B:B,148.1,153.0,-1.3000000000000003,153.0,306,306,306,0.9679738562091503,-0.008496732026143792
gemma-3-4b,gemma-3-27b,0:1,3364.3,5200.0,0.0,0.0,5200,0,5200,0.6469807692307693,
gemma-3-4b,gemma-3-27b,0:B,504.0,846.0,0.0,0.0,846,0,846,0.5957446808510638,
gemma-3-4b,gemma-3-27b,1:0,1664.2,2042.0,0.0,0.0,2042,0,2042,0.8149853085210578,
gemma-3-4b,gemma-3-27b,1:B,316.0,419.0,0.0,0.0,419,0,419,0.7541766109785203,
gemma-3-4b,gemma-3-27b,B:0,175.7,195.8,-9.7,200.2,396,396,396,0.8973442288049028,-0.04845154845154845
gemma-3-4b,gemma-3-27b,B:1,308.9,359.8,-27.7,385.2,745,745,745,0.8585325180655919,-0.07191069574247144
